timestamp,x,y,z
1516786571434325,-0.670898,-0.528809,0.80127
1516786571449211,-0.638672,-0.568848,0.816406
1516786571472271,-0.63623,-0.547852,0.799805
1516786571488333,-0.673828,-0.486816,0.746094
1516786571509371,-0.676758,-0.466309,0.717773
1516786571531427,-0.662598,-0.515625,0.742188
1516786571547472,-0.645996,-0.51416,0.730469
1516786571569536,-0.669434,-0.424316,0.692383
1516786571591595,-0.665039,-0.365723,0.646484
1516786571607632,-0.683594,-0.395508,0.678223
1516786571629861,-0.664551,-0.383789,0.666992
1516786571653847,-0.678223,-0.298828,0.641113
1516786571667791,-0.688965,-0.248535,0.582031
1516786571689908,-0.705566,-0.299316,0.641113
1516786571713035,-0.678711,-0.266113,0.606934
1516786571727984,-0.689453,-0.193848,0.580078
1516786571751013,-0.709961,-0.196289,0.583008
1516786571772071,-0.741211,-0.197754,0.558594
1516786571788113,-0.749512,-0.169434,0.538574
1516786571811173,-0.762207,-0.175293,0.509766
1516786571832357,-0.791504,-0.150879,0.418457
1516786571848271,-0.804688,-0.146973,0.378906
1516786571870331,-0.812012,-0.180176,0.35498
1516786571892523,-0.839355,-0.196289,0.35498
1516786571907439,-0.874512,-0.211914,0.344727
1516786571930490,-0.898926,-0.220215,0.322754
1516786571951546,-0.89209,-0.151855,0.30957
1516786571967588,-0.89502,-0.150879,0.313965
1516786571990650,-0.844238,-0.241699,0.378418
